Year,oil_brent,oil_dubai,coffee_arabica,coffee_robustas,tea_columbo,tea_kolkata,tea_mombasa,sugar_eu,sugar_us,sugar_world
1960,1.6300001144400003,1.6300001144400003,0.9235166666666667,0.6959457333333333,0.9303009000000001,1.121401,1.0374,0.12235641000000001,0.12584705833333334,0.06620833333333333
1961,1.57,1.57,0.8955416666666666,0.6694358083333333,0.8925009,0.9786009999999999,0.9841995999999998,0.124340568,0.12566333999999998,0.05945
1962,1.5200000000000002,1.5200000000000002,0.8325916666666666,0.6822039333333333,0.8610009,1.104601,0.9533996,0.126324726,0.128419115,0.06168333333333333
1963,1.5,1.5,0.8057416666666667,0.6235072833333334,0.8148008,1.083601,0.9603996,0.12676565,0.165897655,0.18323333333333333
1964,1.45,1.45,1.0097583333333333,0.7870679416666667,0.8190008,1.039501,0.9225996,0.12658193166666667,0.13870734166666668,0.126325
1965,1.42,1.42,1.0003499999999999,0.678254075,0.8463009,1.142401,1.0122,0.12456103,0.136135285,0.04421666666666666
1966,1.36,1.36,0.928725,0.7391369,0.7602008000000001,0.9486948416666666,0.9141996,0.130954428,0.14091196166666667,0.039808333333333334
1967,1.33,1.33,0.8642083333333334,0.7391185333333333,0.7186207333333333,0.7986667,0.9911996,0.129411194,0.147158385,0.042058333333333336
1968,1.32,1.32,0.867,0.7463017750000001,0.6770413,0.7333333999999999,0.8357997,0.112215158,0.15285365333333334,0.04193333333333333
1969,1.27,1.27,0.876725,0.729730775,0.5964011,0.8626667,0.7195997,0.112215158,0.15744661166666665,0.07059166666666666
1970,1.21,1.21,1.1466166666666666,0.913555075,0.6266412,0.9906666999999999,0.8875996,0.112215158,0.16534649999999998,0.08224166666666667
1971,1.6900000000000002,1.6900000000000002,0.991875,0.9315774083333332,0.6767328250000001,0.9738093750000001,0.9015996,0.11383187933333333,0.17489985333333333,0.09910000000000001
1972,1.82,1.82,1.1095916666666668,0.996079375,0.6996315916666666,0.8364871416666667,0.8105997,0.150024391,0.18812757333333333,0.160275
1973,2.8074999999999997,2.8074999999999997,1.37345,1.0998595,0.6615935333333333,0.8659246416666667,0.8372438583333333,0.14704815400000001,0.22685539799999999,0.20857499999999998
1974,10.974999427795,10.974999427795,1.4515333333333336,1.2935493333333332,0.8898866,1.25462845,1.1368,0.2347001708333333,0.6499770914999999,0.6548166666666667
1975,10.4325001239775,10.4325001239775,1.4421249999999999,1.3458526666666666,0.8814117,1.4485831666666666,1.0964731166666668,0.3404116998333333,0.4954516013333334,0.45109166666666667
1976,11.63000011444,11.63000011444,3.1466583333333333,2.813397666666667,0.9275673666666666,1.4182170833333334,1.21553025,0.29521698983333333,0.293434922,0.254825
1977,12.5650000572225,12.5650000572225,5.168866666666667,4.932852083333334,1.6958341166666668,2.0673815,2.1001298333333334,0.3089223775,0.2426000591666667,0.17893333333333336
1978,12.916666666666666,12.916666666666666,3.5899916666666667,3.2512418333333333,0.7456567583333333,1.8749519166666666,1.60779825,0.35119596599999997,0.3080589013333333,0.1723083333333333
1979,32.11250003178917,29.816666523615833,3.8261333333333334,3.651941666666666,0.7828326416666668,2.1025033333333334,1.6308334999999998,0.4253079416666667,0.34232237050000003,0.21295
